fundNo,fundName
SE1197,华润信托·明曜精选1期证券投资集合资金信托计划
SE1198,中融-慧安1号证券投资集合资金信托计划
SE1199,中融-慧安2号证券投资集合资金信托计划
SE1200,中融-慧安6号证券投资集合资金信托计划
SE1201,中融-融新83号（慧安商融7号）证券投资集合资金信托计划
SE1202,中融-慧安9号证券投资集合资金信托计划
SE1203,西藏信托-合晟优选结构化理财集合资金信托计划
SE1204,中融信托-融达稳赢一号证券投资集合资金信托计划
SE1205,云南信托*富舜3期证券投资资金信托计划
SE1206,平安信托*投资精英之重阳集合资金信托计划
SE1207,得利宝·至尊5号（重阳5期）证券投资集合资金信托计划
SE1208,华润信托·重阳6期证券投资集合资金信托计划
SE1209,平安？东方港湾马拉松集合资金信托
SE1210,融新263号东方港湾1期证券投资集合资金信托计划
SE1211,外贸信托·重阳对冲1号集合资金信托计划
SE1215,华润信托-博道精选5期证券投资集合资金信托计划
SE1216,华润信托-博道精选A号集合资金信托计划
SE1217,深国投·重阳2期证券投资集合资金信托计划
SE1218,华润信托·重阳3期证券投资集合资金信托计划
SE1219,华润信托·重阳7期集合资金信托计划
SE1220,中信信托·重阳8期集合资金信托计划
SE1221,兴业信托·重阳9期目标回报证券投资集合资金信托计划
SE1222,兴业信托·重阳10期证券投资集合资金信托计划
SE1223,外贸信托·重阳目标回报1期证券投资集合资金信托计划
SE1234,中融信托-翼虎成长一期
SE1236,外贸信托-铭深1号证券投资集合资金信托计划
SE1237,兴业信托·中睿7期证券投资集合资金信托计划
SE1239,厦门信托·国富精选二号证券投资集合资金信托计划
SE1240,百瑞恒益·国富精选三号集合资金信托计划
SE1241,北京信托·国富精选五号证券投资集合资金信托计划
SE1242,厦门信托·国富投资专户2号集合资金信托计划
SE1243,厦门信托·国富投资专户3号集合资金信托计划
SE1246,北京信托.润晖稳健增值证券投资集合资金信托计划
SE1255,外贸信托-万博升级MoM证券投资集合资金信托计划
SE1256,外贸信托-万博多策略进取MoM证券投资集合资金信托计划
SE1257,中铁信托·中睿吉祥管家一期证券投资集合资金信托计划
SE1258,兴业信托·中睿12期证券投资集合资金信托计划
SE1260,兴业信托·中睿15期证券投资集合资金信托计划
SE1262,中融—工银量化恒盛精选D类三期
SE1264,深国投·尚雅4期
SE1265,得利宝·至尊8号
SE1266,平安财富·投资精英之尚雅
SE1274,中信信托·中睿8期证券投资集合资金信托计划
SE1275,兴业信托·中睿9期证券投资集合资金信托计划
SE1276,上海信托“紫晶石·选优”系列（中睿吉祥管家10期）证券投资资金信托计划
SE1277,华润信托·万丰友方贯升2号集合资金信托计划
SE1298,中信·融惠优选1期证券投资集合资金信托计划
SE1311,深国投*万丰友方二期证券投资资金信托
SE1312,华润信托*万丰友方稳健成长1期证券投资资金信托
SE1313,华润信托*万丰友方避险增值2期证券投资资金信托
SE1314,华润信托*万丰友方避险增值1期证券投资资金信托
SE1316,深国投·尚雅2期
SE1318,深国投·尚雅3期
SE1326,深国投·民森A号证券投资集合资金信托计划
SE1346,兴业信托.慧安10期证券投资集合资金信托计划
SE1347,中融-融新慧安11号证券投资集合资金信托计划
SE1348,中融-慧安12号证券投资集合资金信托计划
SE1349,外贸信托·国富投资专户6号B期集合资金信托计划
SE1351,深国投.景林稳健证券投资集合资金信托计划
