fundNo,fundName
SD2585,河南盛丰投资基金管理中心（有限合伙）
SD2587,深圳市汇银叁号投资合伙企业（有限合伙）
SD2589,北京北大医疗上银股权投资中心（有限合伙）
SD2591,创业金山引导基金
SD2594,永安信华丰（天津）投资合伙企业（有限合伙）
SD2614,深圳粤之商投资合伙企业（有限合伙）
SD2623,天迪创新（天津）资产管理合伙企业（有限合伙）
SD2625,天津汇融长河股权投资基金合伙企业（有限合伙）
SD2626,重庆永安信九方投资中心（有限合伙）
SD2629,深圳前海国盈一凡投资企业（有限合伙）
SD2630,上海磐石金池投资合伙企业（有限合伙）
SD2631,上海谦长资产管理中心（有限合伙）
SD2633,深圳市鼎鸿信添利投资合伙企业（有限合伙）
SD2635,萍乡市鼎鸿信通利壹号投资合伙企业（有限合伙）
SD2636,成都聚信天颐投资中心（有限合伙）
SD2643,北京中金景合创业投资中心（有限合伙）
SD2645,北京中金盛合创业投资中心（有限合伙）
SD2649,上海博泽盛仕创业投资中心（有限合伙）
SD2650,永安信（厦门）股权投资基金合伙企业（有限合伙）
SD2651,深圳市珠峰基石股权投资合伙企业（有限合伙）
SD2655,武汉中金鼎合创业投资基金中心（有限合伙）
SD2657,湖南富坤文化传媒投资中心（有限合伙）
SD2665,浙江钛嘉创业投资合伙企业（有限合伙）
SD2666,苏州钛和瑞富股权投资合伙企业（有限合伙）
SD2669,北京中技富坤创业投资中心（有限合伙）
SD2670,上海家承投资合伙企业（有限合伙）
SD2672,重庆永安信雨森股权投资中心（有限合伙）
SD2673,重庆永安信银嘉投资管理中心&#40;有限合伙）
SD2674,内蒙古永安信股权投资基金中心（有限合伙）
SD2675,成都永安诚投资中心（有限合伙）
SD2676,镇江永安信股权投资基金企业（有限合伙）
SD2677,南昌蕴信投资中心（有限合伙）
SD2678,深圳市汇银瑞和六号投资合伙企业（有限合伙）
SD2679,北京启迪明德创业投资有限公司
SD2680,北京启迪汇德创业投资有限公司
SD2681,北京启迪日新创业投资有限公司
SD2682,上海凯环股权投资中心（有限合伙）
SD2684,上海富厚加大股权投资合伙企业
SD2687,上海盛清创业投资中心 （有限合伙）
SD2689,北京国开城镇发展基金（有限合伙）
SD2690,赣州安信欣华投资管理中心（有限合伙）
SD2691,永安信万嘉（厦门）股权投资基金合伙企业（有限合伙）
SD2694,深圳市明道汇智投资基金合伙企业（有限合伙）
SD2698,北京中海创业投资有限公司
SD2699,北京中金鲁合创业投资中心（有限合伙）
SD2700,北京中金润合创业投资中心（有限合伙）
SD2701,北京中金源合创业投资中心（有限合伙）
SD2703,南昌永安信股权投资中心（有限合伙）
SD2708,苏州启明创智股权投资合伙企业（有限合伙）
SD2745,北京华夏熙祥影视文化投资中心（有限合伙）
SD2747,北京水木启程创业投资中心（有限合伙）
SD2804,上海友盛投资中心（有限合伙）
SD2841,永宣资源一号（常州）股权投资合伙企业（有限合伙）
SD2865,深圳市同创伟业创新节能环保创业投资企业（有限合伙）
SD2871,上海恒祐股权投资基金有限公司
SD2924,苏州工业园区盛世鸿宇投资中心（有限合伙）
SD2932,苏州博信成长股权投资基金合伙企业（有限合伙）
SD2955,上海丰通股权投资基金合伙企业（有限合伙）
SD2957,上海隆维钰投资中心（有限合伙）
SD3127,北京启迪兴业创新投资有限公司
SD3183,宁波梅山保税港区拔萃天和股权投资合伙企业（有限合伙）
SD3197,航天高新（苏州）创业投资有限公司
﻿SD3199,皖江城市带承接产业转移投资基金
SD3201,永安信江阴股权投资企业（有限合伙）
SD3203,苏州纪源科星股权投资合伙企业（有限合伙）
SD3206,安徽丰创生物技术产业创业投资有限公司
SD3209,永宣资源二号（常州）股权投资合伙企业（有限合伙）
SD3211,永宣资源五号（常州）股权投资合伙企业（有限合伙）
SD3216,霍尔果斯现代产业投资基金（有限合伙）
SD3221,北京五岳青云创业投资合伙企业（有限合伙）
SD3235,宁波巴楠尊融投资合伙基金
SD3242,东方富海（芜湖）股权投资基金（有限合伙）
SD3247,广东集成创业投资有限公司
SD3258,北京华盖映月影视文化投资合伙企业（有限合伙）
SD3266,永宣资源三号（常州）股权投资合伙企业（有限合伙）
SD3268,永宣资源四号（常州）股权投资合伙企业（有限合伙）
SD3270,北京同创共享创业投资中心（有限合伙）
SD3271,北京启赋创业投资中心（有限合伙）
SD3273,成都泰豪银科创业投资中心（有限合伙）
SD3590,杭州鑫康健创业投资有限公司
SD3656,凯鹏华盈（天津）股权投资基金合伙企业（有限合伙）
SD3657,凯鹏华盈鸿图（天津）股权投资基金合伙企业（有限合伙）
SD3664,厦门金慈投资合伙企业（有限合伙）
SD3676,北京菊华投资基金管理中心（有限合伙）
SD3679,春华（天津）股权投资合伙企业（有限合伙）
SD3685,中硕（天津）投资管理合伙企业（有限合伙）
SD3686,比邻创新（天津）股权投资基金合伙企业（有限合伙）
SD3688,永安信（天津）股权投资基金（有限合伙）
SD3689,杭州钱江中小企业创业投资有限公司
SD3690,佛山市银富创业投资合伙企业（有限合伙）
SD3696,北京顺鑫和辉股权投资中心（有限合伙）
SD3699,杭州华钛智测股权投资合伙企业（有限合伙）
SD3702,成都五岳天下银科投资合伙企业（有限合伙）
SD3705,上海德晖致晟投资管理中心（有限合伙）
SD3707,日亚（天津）创业投资企业
SD3715,苏州农发创业投资中心（有限合伙）
SD3718,星香云（吴江）股权投资中心（有限合伙）
SD3722,上海歌石股权投资基金合伙企业（有限合伙）
SD3723,上海复鑫股权投资基金合伙企业（有限合伙）
SD3725,天津海泰优点创业投资企业
SD3727,陕西高端装备高技术创业投资基金（有限合伙）
SD3731,北京宽街博华贰零壹壹投资中心（有限合伙）
SD3738,上海复新股权投资基金合伙企业（有限合伙）
SD3741,绵阳永安信股权投资中心（有限合伙）
SD3742,潍坊梧桐树投资中心（有限合伙）
SD3744,上海汉理前景股权投资合伙企业（有限合伙）
SD3750,深圳市东方富海创业投资企业（有限合伙）
SD3751,天津东方富海股权投资基金合伙企业（有限合伙）
SD3752,杨凌东方富海现代农业生物产业股权投资企业（有限合伙）
SD3753,东方富海（芜湖）二号股权投资基金（有限合伙）
SD3756,方州（上海）投资管理中心（有限合伙）
SD3759,南京华鼎资产管理中心（有限合伙）
SD3763,一壹（天津）影视文化股权投资基金（有限合伙）
SD3764,上海泽芯投资合伙企业（有限合伙）
SD3765,中硕星和投资合伙企业（有限合伙）
SD3766,马鞍山山南智本投资中心（有限合伙）
SD3767,天津文化产业股权投资基金合伙企业（有限合伙）
SD3768,华金（天津）国际医药医疗创业投资有限合伙企业
SD3778,马鞍山和安投资中心（有限合伙）
SD3787,广州产业转型升级引导基金
SD3791,团氿（上海）投资管理中心（有限合伙）
SD3800,上海弗志投资合伙企业（有限合伙）
SD3801,浙江瑞瀛钛和股权投资合伙企业（有限合伙）
SD3803,北京永安信股权投资基金（有限合伙）
SD3808,南通德升金腾创业投资中心（有限合伙）
SD3809,深圳市汇银信益柒号投资合伙企业（有限合伙）
SD3810,浙江熔岩创新股权投子合伙企业（有限合伙）
SD3813,宁波熔岩成长股权投资合伙企业（有限合伙）
SD3940,上海汉理前隆创业投资合伙企业（有限合伙）
SD3994,佛山市建银富达创业投资合伙企业（有限合伙）
SD3996,上海同创伟业共享创业投资合伙企业（有限合伙）
SD4029,新开发联合创业投资企业
SD4040,上海丹晟创业投资有限公司
SD4110,上海丰通股权投资基金合伙企业（有限合伙）
SD4118,深圳市深商兴业创业投资基金合伙企业
SD4132,南京紫东国际创意园天使投资基金（有限合伙企业）
SD4156,萍乡西域至尚投资管理中心（有限合伙）
SD4208,苏州钟鼎创业投资基金（有限合伙）
SD4216,西藏华霖创业投资基金合伙企业（有限合伙）
SD4217,东方富海（上海）创业投资企业（有限合伙）
SD4294,北京崇德弘信创业投资中心（有限合伙）
SD4295,广东中小企业股权投资基金
SD4839,芜湖歌斐祥宇投资中心（有限合伙）
SD4878,永春歌斐汇泉投资中心（有限合伙）
SD6074,北京中金秉合创业投资中心（有限合伙）
SD6077,上海仪电思佰益股权投资合伙企业
SD6087,北京华创盛景投资中心（有限合伙）
SD6093,苏州架桥富凯二号股权投资基金企业（有限合伙）
SD6095,深圳稳鸿投资合伙企业&#40;有限合伙）
SD6098,深圳市君丰恒利投资合伙企业（有限合伙）
SD6123,成都博源天鸿投资合伙企业（有限合伙）
SD6125,苏州钛和睿智投资中心(有限合伙）
SD6141,中基武汉珠宝产业投资基金
SD6151,广州司浦林信息产业创业投资企业（有限合伙）
SD6154,玉鸣（上海）投资管理中心（有限合伙）
SD6187,昆山京兆久乐投资中心（有限合伙）
SD6197,深圳上银投资基金有限公司
SD6208, 上海京兆奥喜投资中心（有限合伙）
SD6219,光控广域投资（上海）合伙企业（有限合伙）
SD6220,启迪官林创业投资有限公司
SD6247,北京紫马创盈投资管理中心（有限合伙）
SD6255,江苏盛宇丹昇创业投资有限公司
﻿SD6271,常春藤（上海）股权投资中心（有限合伙）
SD6280,上海歌斐惟勤股权投资中心（有限合伙）
SD6283,上海千壹股权投资中心（有限合伙）
SD6291,上海磐石宝骐投资合伙企业（有限合伙）
SD6293,华软创业投资宜兴合伙企业（有限合伙）
SD6295,珠海市横琴新区粤五股权投资有限合伙企业（有限合伙）
SD6360,东莞市博源凯德创业投资合伙企业（有限合伙）
SD6371,马鞍山和智投资中心（有限合伙）
SD6374,杭州奥杉智数创业投资合伙企业（有限合伙）
SD6457,廊坊市新朝阳股权投资基金合伙企业（有限公司）
SD6507,佛山市建银集成创业投资合伙企业（有限合伙）
SD6548,宁波东元创业投资有限公司
SD6719,天津渤海金石股权投资基金合伙企业（有限合伙）
SD6729,山西同仁股权投资合伙企业（有限合伙）
SD6746,北京浙控金诚股权投资中心（有限合伙）
SD6833,天津燕山创智股权投资基金合伙企业（有限合伙）
SE1103,东莞信托·汇信-泓德2号集合资金信托计划
SE1104,东莞信托·汇信-泓德3号集合资金信托计划
SE1105,兴业信托*归富长乐1号证券投资集合资金信托计划
SE1106,中海信托-元昊1306集合资金信托
SE1107,深国投·博颐精选2期证券投资集合资金信托计划
SE1108,华润信托·博颐精选3期系列证券投资集合资金信托计划
SE1112,华融信托-得壹普泰8号权益投资集合资金信托计划
SE1114,华润信托·博颐稳健1期证券投资集合资金信托计划
SE1115,中信信托-鼎力价值成长1期证券投资集合资金信托计划
SE1116,华融智德1号
SE1124,陕国投·鼎锋18期证券投资集合资金信托计划
SE1143,深国投·明达2期证券投资集合资金信托计划
SE1154,中海-珺容二期集合资金信托计划
SE1159,中信·明达6期证券投资集合资金信托计划
SE1161,中融盈捷九头鸟1期证券投资集合资金信托计划
SE1162,华宝多策略-培蓝壹号集合资金信托计划
SE1164,西部信托 稳健人生
SE1165,外贸信托·世通嫦娥奔月证券投资集合资金信托计划
SE1273,华润信托·智诚2期证券投资集合资金信托计划
SE1367,华润信托·智诚3期证券投资集合资金信托计划
SE1368,兴业信托·智诚7期证券投资集合资金信托计划 
SE1379,外贸信托-龙赢成长1号（君利稳健收益）集合资金信托
SE1397,深国投·明达3期证券投资集合资金信托计划
SE1427,中信信托升阳1期证券投资集合资金信托计划
SE1428,中信信托升阳2期证券投资集合资金信托计划
SE1432,兴业信托.常春藤六期证券投资集合资金信托计划
SE1456,深国投·明达证券投资集合资金信托计划
SE1459,中原理财宏利2期-龙赢证券投资集合资金信托
SE1478,中融-龙赢一号证券投资集合资金信托
SE1482,中信信托升阳3期证券投资集合资金信托计划
SE1487,北京信托·明达4期证券投资集合资金信托计划
SE1536,陕国投·鼎锋8期证券投资集合资金信托计划
SE1538,中信？盈融达量化对冲2期管理型风险缓冲金融投资集合资金信托计划
SE1542,粤财信托.瑞天价值成长集合资金信托计划
SE1555,华润信托·鼎新88号花伴里项目集合信托计划
SE1621,外贸信托·明达7期证券投资集合资金信托计划
SE1626,粤财信托.银田1号证券投资集合资金信托计划
SE1631,金狮155号
SE1632,粤财信托.私募精选2期集合资金信托计划
SE1634,兴业信托.瑞天5期证券投资集合信托计划
SE1655,华宝-亚克西风险缓冲1号集合资金信托计划
SE1668,兴业信托名禹稳健增长投资集合资金信托计划
SE1677,中融盈捷九头鸟2期证券投资集合资金信托计划
SN5699,天津天诚嘉弘股权投资基金合伙企业（有限合伙）
SN5709,华润深国投信托稳益8号（枫华）结构化固定收益投资集合资金信托计划
SN5710,华润信托·枫华2号（别称稳益8号）集合资金信托计划
SN5715,粤财信托信合东方集合资金信托计划
SN5716,粤财信托信合东方1期集合资金信托计划
SN5717,粤财信托信合东方2期集合资金信托计划
SN5718,粤财信托信合东方3期集合资金信托计划
SN5719,粤财信托信合东方5期集合资金信托计划
SN5720,西部信托信合东方集合资金信托计划
SN5721,财通基金-钜融安心1号资产管理计划
SN5796,联华信托新申财富（瑞华2期）证券投资集合资金信托计划
SN5797,江苏信托—中银国际瑞华彤源卓越2期集合资金信托计划
SN5798,大臧金－瑞华（三）结构化证券投资资金信托计划
SN5800,华宝安心成长组合（江苏瑞华） 证券投资资金信托计划
SN5801,外贸信托瑞华1号（汇富107号）结构化证券投资集合资金信托计划
SN5802,华鑫信托瑞华兴盛29号结构化证券投资集合资金信托计划
SN5803,大臧金－瑞华（三）续结构化证券投资资金信托计划
SN5804,苏州信托瑞华1号基金优选集合资金信托计划
SN5805,华宝信托大臧金瑞华1号结构化证券投资资金信托计划 
SN5806,华宝信托点金7号结构化证券投资资金信托计划 
SN5807,中融-瑞华2号结构化证券投资集合资金信托
SN5808,中融-瑞华3号结构化证券投资集合资金信托
SN5809,中融-瑞华1号结构化证券投资集合资金信托
SN5810,中泰信托稳定收益（二）期证券资金集合资金信托
SN5811,华宝信托瑞华卓越1期证券投资资金信托计划
SN5812,华宝信托大臧金瑞华6号结构化证券投资资金信托计划 
SN5813,华宝信托大臧金瑞华6号续结构化证券投资资金信托计划 
SN5816,芜湖歌斐鸿家投资中心（有限合伙）
SN5817,芜湖歌斐祥和投资中心（有限合伙）
SN5818,芜湖歌斐祥鸿投资中心（有限合伙）
SN5819,芜湖歌斐鸿泉投资中心（有限合伙）
SN5847,外贸信托.华金1号（普邦恒升）证券投资集合资金信托计划
SN5869,新时代金股典证券投资集合信托计划
SN5880,华融·道谊稳健权益投资集合资金信托计划 
SN5881,中信·道谊稳进管理型风险缓冲金融投资集合资金信托计划
SN5882,中信·道谊量化增强1期管理型金融投资集合资金信托计划
SN5892,中融－鼎辉1号
SN5893,中融－融新89号鼎陶朱辉2期
SN5982,华润信托·明达精选A号集合资金信托计划
SN5983,中江国际·金狮152号证券投资集合资金信托
SN5990,天津富鼎和卓越股权投资基金合伙企业（有限合伙）
﻿SN5991,武汉富鼎和卓越股权投资基金合伙企业（有限合伙）
SN6008,深圳稳富投资合伙企业&#40;有限合伙）
SN6009,深圳稳和投资合伙企业&#40;有限合伙）
SN6052,交银国信-中欧瑞博成长策略一期
SN6053,华润深国投-中欧瑞博1期
SN6054,华润深国投-中欧瑞博3期消费行业基金
SN6055,平安信托-金蕴52期（中欧瑞博四期消费科技行业基金）
SN6088,中信·量华1号对冲基金管理型金融投资集合资金信托计划
SN6164,深国投.龙马证券投资集合资金信托计划
SN6169,陕国投宝海1期证券投资集合资金信托计划
SN6175,上海融昌云锦投资管理有限公司
SN6184,中融国际信托有限公司-融金34号（久富1期）
SN6185,中融-久富2期
SN6188,深国投·世通1期证券投资集合资金信托计划
SN6189,陕国投·世通5期证券投资集合资金信托计划
SN6190,中信信托·稳健分层型证券投资集合资
SN6191,稳健分层型证券投资集合资
SN6192,华润信托·岳麓6号集合资金信托计划
SN6193,中融信托-中宝一号集合资金计划
SN6209,杭州万智投资合伙企业（有限合伙）
SN6232,中信信托-喜马拉雅1期证券集合资金信托计划
SN6238,德骏达隆核心基金
SN6248,苏州金庆仪实业投资合伙企业（有限合伙）
SN6249,苏州金震山实业投资合伙企业（有限合伙）
SN6250,苏州金兑和实业投资合伙企业（有限合伙）
SN6251,金苏二号-苏州太湖度假区基础建设发展基金
SN6253,苏州金艮顺实业投资合伙企业（有限合伙）
SN6255,嘉兴金高投资管理合伙企业（有限合伙）
SN6288,上海歌斐蓝御投资中心（有限合伙）
SN6289,芜湖歌斐蓝昀投资中心（有限合伙）
SN6290,芜湖歌斐蓝睿投资中心（有限合伙）
SN6291,芜湖歌斐蓝坤投资中心（有限合伙）
SN6292,芜湖歌斐蓝辰投资中心（有限合伙）
SN6313,中融-泽泉涨停板1号证券投资集合资金信托计划
SN6314,中融-泽泉财富管家1号证券投资集合资金信托计划
SN6315,中信-泽泉景渤财富管理型金融投资集合资金信托计划
SN6316,中信-泽泉信德高端管理型金融投资集合资金信托计划
SN6323,江苏信托-大包巷1号证券投资集合资金信托计划
SN6324,08融新49号（斯达克成长1期）证券投资集合资金信托计划
SN6325,深国投汇银资本股权投资集合资金信托计划
SN6335,华润信托·鼎新103号佛山花伴里项目集合信托计划
SN6365,外贸信托·汇富127号（谷晟1期）
SN6367,兴业信托.毅扬2期证券投资集合资金信托计划
SN6368,兴业信托.毅扬稳富1期债券投资集合资金信托计划
SN6369,兴业信托.毅扬稳富2期债券投资集合资金信托计划
SN6370,北京信托.毅扬1期证券投资集合资金信托计划
SN6373,天津颉昂有限合伙
SN6374,湖南金业泰投资中心（有限合伙）
SN6375,湖南金日昌投资中心（有限合伙）
SN6378,中信信托盈捷九头鸟3期证券投资集合资金信托计划
SN6386,深国投·博颐精选证券投资集合资金信托计划
SN6389,深国投*开宝1期证券投资集合信托
SN6390,中信信托*开宝2期证券投资集合信托
SN6397,陕国投元昊1307结构化证券投资集合资金信托
SN6404,中融-融尊基金集合资金信托计划（一期）
SN6405,中融-融尊基金信托计划（二期）
SN6441,华宝-玖沣1号集合资金信托计划
SN6450,兴业信托-鼎力超级成长证券投资集合资金信托计划
SN6453,陕国投·天富3号结构化证券投资集合资金信托计划
SN6455,中信信托·鑫安1期证券投资集合资金信托计划
SN6651,外贸信托尚嘉套利1期集合资金信托计划
SN6698,中海信托玖歌投资荣华1期集合资金信托计划
SN6699,中融融新316号玖歌投资证券投资集合资金信托
SN6712,中融-小海豚证券投资集合资金信托计划
SN6805,中融·龙腾5期证券投资集合资金信托计划
SN6806,华润深国投·龙腾证券投资集合资金信托计划
SN6807,长安信托·龙腾9期证券投资集合资金信托计划 
SN6808,兴业信托·龙腾3期证券投资集合资金信托计划
SN6822,华融信托-得壹普泰3号权益投资集合资金信托计划
SN6823,华融信托-得壹普泰11号权益投资集合资金信托计划
SN6841,上海信托“紫晶石·稳优”系列（朴道）证券投资资金信托计划
SN6842,朴道一期证券投资集合资金信托计划[2014续]
SN6843,长安信托.安盈1号（长安投资146号）证券投资集合资金信托计划
SN6844,东莞信托·汇信-泓德4号集合资金信托计划
SN6845,东莞信托·汇信-泓德5号集合资金信托计划
SN6846,东莞信托·汇信-泓德1号集合资金信托计划
SN6855,外贸信托.汇富134号（常春藤二期）机构化证券投资集合资金信托计划）
SN6868,华润信托 福麟15号
SN6869,华润信托 润金73号
SN6909,中融信托 - 洲浚1号证券投资集合资金信托计划
SN6913,中信盈融达量化对冲1期管理型金融投资集合资金信托计划
SN6914,中信盈融达量化对冲5期管理型金融投资集合资金信托计划
SN6915,中信盈融达量化对冲3期金融投资集合资金信托计划
SN6928,粤财信托.华骏海石1号证券投资集合资金信托计划
SN6958,粤财信托.私募精选1期集合资金信托计划
SN6959,厦门信托德泽振祈系列之稳健1号证券投资集合资金信托计划
SN6960,厦门信托德泽振祈系列之稳健2号证券投资集合资金信托计划
SN6962,华宝-R2007ZX048&#40;智信创富1期&#41;证券投资资金信托计划
SN6963,华宝-R2007ZX067&#40;智信创富2期&#41;证券投资资金信托计划
SN6981,外贸信托稳健增长集合资金信托计划
SN6982,陕国投-华信1号证券投资集合资金信托计划
SN6983,外贸信托-尊嘉ALPHA尊享A期证券投资集合资金信托计划
SN6984,外贸信托-尊嘉ALPHA尊享B期证券投资集合资金信托计划
SN6985,外贸信托-尊嘉ALPHA尊享C期证券投资集合资金信托计划
SN6986,外贸信托-尊嘉ALPHA尊享D期证券投资集合资金信托计划
SN6987,外贸信托-尊嘉ALPHA尊享E期证券投资集合资金信托计划
SN6988,外贸信托-尊嘉ALPHA尊享F期证券投资集合资金信托计划
SN6989,外贸信托-尊嘉ALPHA尊享I期证券投资集合资金信托计划
SN6990,外贸信托-尊嘉ALPHA尊享G期证券投资集合资金信托计划
SN6991,外贸信托-证券投资集合资金信托计划
﻿SN6992,外贸信托-尊嘉ALPHA1号证券投资集合资金信托计划
SN6993,外贸信托-尊嘉ALPHA尊享J期证券投资集合资金信托计划
SN6994,外贸信托-尊嘉ALPHA尊享K期证券投资集合资金信托计划
SN6995,外贸信托-尊嘉ALPHA尊享L期证券投资集合资金信托计划
SN6996,外贸信托-尊嘉ALPHA尊享M期证券投资集合资金信托计划
SN6997,外贸信托-尊嘉ALPHA尊享N期证券投资集合资金信托计划
SN6998,外贸信托-尊嘉ALPHA尊享O期证券投资集合资金信托计划
SN6999,外贸信托-尊嘉ALPHA尊享P期证券投资集合资金信托计划
SN7000,外贸信托-尊嘉ALPHA尊享Q期证券投资集合资金信托计划
SN7030,中基黄山头武汉股权投资基金
SN7045,宁波汇融沁丰投资合伙企业（有限合伙）
SN7046,宁波汇融沁润投资合伙企业（有限合伙）
SN7047,宁波汇融沁泰投资合伙企业（有限合伙）
SN7071,华润智德1期
SN7072,平安投资精英之智德
SN7073,兴业智德精选六期
SN7074,中信精选三期
SN7075,中信精选5期
SN7076,中融智德持续增长
SN7077,中融智德精选
SN7078,陕国投博信1号
SN7079,中融智德持续增长2期
SN7112,山东信托珺容一期证券投资集合资金信托计划
SN7119,兴业信托-恒瑞一期证券投资集合资金信托计划
SN7120,山东信托套利乐 （博源成长1号）证券投资集合资金信托计划
SN7121,东莞市博源凯正创业投资合伙企业（有限合伙）
SN7138,华润信托·福麟3号证券投资集合资金信托计划
SN7139,华润信托·福麟5号证券投资集合资金信托计划
SN7141,信复创值1号集合资金信托计划文件
SN7143,中融--增强31号赢隆二期证券投资集合资金信托计划
SN7144,中融-赢隆一期证券投资集合资金信托计划
SN7160,长安-稳健9号&#40;洛肯国际1期&#41;债券投资集合资金信托计划
SN7165,山东信托·天乙1期
SN7166,西安信托 玖逸一期（长安投资25号）集合资金信托计划）集合资金信托计划
SN7199,恒德中略1期
SN7238,日发资产委托理财
SN7257,上海弘朴投资中心（有限合伙）
SN7270,信托·棕 长安石量化中性策略（长安投资272号）集合资金信托计划
SN7274,上海歌斐天鹄投资中心（有限合伙）
SN7322, 华润信托·德源安战略成长1号证券投资集合资金信托计划
SN7323,外贸信托·德源安1期证券投资集合资金信托计划
SN7324,兴业信托·德源安战略成长3号证券投资集合资金信托计划
SN7325,外贸信托·德源安风险缓冲1期证券投资集合资金信托
SN7326, 外贸信托·德源安战略成长4号证券投资集合资金信托计划
SN7327,外贸信托·富鹏2期
SN7338,湖南中琻创业投资有限公司
SN7357,兴业信托.瑞天3期证券投资集合信托计划
SN7366,外贸信托-尊嘉ALPHA证券投资集合资金信托计划
XT125826,东方尊嘉盈冲资产管理计划
z46004,华安资产-南华元葵煌昱-趋势分级资产管理计划
None,金鹰广期鼎陶朱辉1号
None,万家共赢晋愉一期专项资产管理计划
None,英大基金-鼎陶朱辉5号
None,财通资产-中泰2号特定多个客户专项资产管理计划
 ,招商基金-全球套利1号特定客户资产管理计
 ,金鹰-汇势通增利2号资产管理计划
 ,财通资产-光耀集团全球候鸟度假村特定多个客户专项资产管理计划
 ,申银万国共盈1号集合资产管理计划
 ,长安德汉新豪1号分级资产管理计划  
 ,长江财富-保集1号专项资产管理计划
 ,华安资产-稳盈1号增强型债券专项资产管理计划
 02390020,摩根士丹利华鑫基金皓晨1号
 03990003,东方汇利易和资产管理计划
006061,华夏资本-拾贝投资1号资产管理计划
006063,华夏资本-拾贝投资2号资产管理计划
006064,华夏资本-拾贝投资3号资产管理计划
006065,华夏资本-拾贝投资4号资产管理计划
03990005,东方聚利鑫元资产管理计划
03990018,东方基金涵德顺时资产管理计划
06698609,财通基金凯纳1号资产管理计划
749145,长安金浦玺鸣1号分级资产管理计划
749167,长安玺鸣1号资产管理计划
913003,东方天弓3号资产管理计划资产管理计划
A0001,东方基金中期对冲分级1号
B0001,东海基金-中国国际期货-鑫龙23号资产管理计划
C0001,中期成长-北极星1号
D0001,中期精选-股指1号
S21722,天津泰达科技投资股份有限公司
SD1387,北京国宏金桥财星创业投资中心
SD1428,宁波远瞻丰源股权投资基金合伙企业（有限合伙）
SD1623,上海联创永钦创业投资企业（有限合伙）
SD1629,广州科技创业投资有限公司
SD1641,上海远瞻瀚珑投资合伙企业（有限合伙）
SD1642,上海远瞻冲和投资合伙企业（有限合伙）
SD1660,深圳市分享投资合伙企业（有限合伙）
SD1662,昆山分享成长投资企业（有限合伙）
SD1663,苏州益信开元医疗健康投资合伙企业（有限合伙）
SD1709,北京雷岩至诚创业投资中心（有限合伙）
SD1719,天津百富源股权投资基金合伙企业（有限合伙）
SD1748,昆山分享股权投资企业（有限合伙）
SD1770,汉红宁乡产业投资基金
SD1779,上海大学生创业投资有限公司
SD1783,上海财晟富和投资中心（有限合伙）
SD1787,上海创业接力投资中心（有限合伙）
SD1791,上海盛联弘大投资中心&#40;有限合伙&#41;
SD1831,嘉华原龙（天津）股权投资基金合伙企业（有限合伙）
SD1835,天津分享时代股权股资基金合伙企业（有限合伙）
SD1836,上海岑岳投资合伙企业（有限合伙）
SD1860,中企汇银南京创业投资基金中心（有限合伙）
SD1873,嘉华优势（天津）投资企业（有限合伙）
﻿SD1898,杭州联创永津创业投资合伙企业（有限合伙）
SD1899,杭州永宣永铭股权投资合伙企业（有限合伙）
SD1920,北京创动创业投资中心（有限合伙）
SD1929,中企港南京创业投资基金中心（有限合伙）
SD1931,北京德同长通投资中心（有限合伙）
SD1933,北京华川秉鸿创业投资发展中心（有限合伙）
SD1934,杭州联创永溢创业投资合伙企业（有限合伙）
SD1944,天津分享星光股权股资基金合伙企业（有限合伙）
SD1976,天津分享星河股权股资基金合伙企业（有限合伙）
SD1986,北京黄河基业投资管理中心
SD1987,中企港二期南京创业投资基金中心（有限合伙）
SD1994,天津分享未来股权股资基金合伙企业（有限合伙）
SD1998,天津分享星空股权股资基金合伙企业（有限合伙）
SD2001,渤海产业投资基金一期
SD2006,上海邦明科兴投资中心（有限合伙）
SD2009,天津优势股权投资基金合伙企业（有限合伙）
SD2022,河南秉鸿生物高新技术创业投资有限公司
SD2024,宁波九诚投资合伙企业（有限合伙）
SD2037,润渤（天津）股权投资基金合伙企业（有限合伙）
SD2048,北京汉能中宏投资中心（有限合伙）
SD2056,湖北九派创业投资有限公司
SD2065,上海复邦鑫炎投资中心（有限合伙）
SD2066,上海复邦鑫瑜投资中心（有限合伙）
SD2067,上海复邦鑫瑶投资中心（有限合伙）
SD2068,南京优势股权投资基金（有限合伙）
SD2072,南京新华天行股权投资企业（有限合伙）
SD2078,宁波瀚和股权投资合伙企业（有限合伙）
SD2079,黑龙江省大正赛富创业投资企业（有限合伙）
SD2092,上海创祥创业投资合伙企业（有限合伙）
SD2105,芜湖复邦星晟投资中心（有限合伙）
SD2148,黑龙江省龙财兴业股权投资企业（有限合伙）
SD2162,农银无锡股权投资基金企业（有限合伙）
SD2167,北京德联恒丰投资中心（有限合伙）
SD2182,深圳市创动新兴产业投资基金企业（有限合伙）
SD2190,佛山市凯鼎优势创业投资企业（有限合伙）
SD2191,佛山市凯鼎成长创业投资企业（有限合伙）
SD2192,平安信托--金蕴66期（联创永泽&#41;集合资金信托
SD2195,北京京西首诚嘉业投资管理中心（有限合伙）
SD2210,无锡华映文化产业投资企业（有限合伙）
SD2218,北京天原国投投资管理中心（有限合伙）
SD2219,新疆建信天然股权投资有限合伙企业
SD2227,深圳市高特佳汇富投资合伙企业（有限合伙）
