registerCode,name
SS0690,中信建投基金-诸暨农商行资产管理计划
SS0756,固益通宝·兴业财富-兴盈3号1期专项资产管理计划
SS0739,德邦基金晨优定增1号资产管理计划
SS0640,财通资产-融信租赁特定多个客户专项资产管理计划
SS0710,广发基金-龙江1号资产管理计划
SS0752,兴瀚资管-兴金86号单一客户专项资产管理计划
SS0743,长城基金-建信资本稳赢1号资产管理计划
SS0740,平安大华安赢汇富太平鸟1号资产管理计划
SS0722,光大保德信宁殷2号资产管理计划
SS0723,泰达宏利价值成长定向增发623号
SS0728,中信建投基金海南农垦稳债增盈资产管理计划
SS0711,中融基金-融耀定增29号资产管理计划
SS0639,华富资管同心2号专项资产管理计划
SS0692,新东吴优胜安顺交投3号专项资产管理计划
S95085,华工2号资产管理计划
SS0757,安信基金鲲鹏定增2号资产管理计划
SS0749,兴瀚资管-兴金85号单一客户专项资产管理计划
SS0417,中融基金长华资产管理计划
SS0517,信诚基金海外投资2号资产管理计划
SS0426,光大保德信宁殷1号资产管理计划
SS0459,华泰柏瑞基金-光大银行-东方汇智量化对冲资产管理计划
SS0376,民生加银长安信托添鑫11号资产管理计划
SS0519,鑫沅资产鑫梅花254号专项资产管理计划
SS0548,交银施罗德资管国利72号专项资产管理计划
SS0466,广发瑞元广添福91天1号专项资产管理计划
SS0373,嘉实资本稳健106号专项资产管理计划
SS0537,中融基金-融量对冲4号资产管理计划
SS0412,富国基金丰收1号资产管理计划
SS0497,创金合信鑫选10号多策略资产管理计划
SS0368,光大保德信-弘尚资产环球配置1号资产管理计划
SS0529,德邦基金永乐1号资产管理计划
SS0421,鑫元基金-南通农商银行-鑫合通33号资产管理计划
SS0535,平安大华天佑资本定增宝1号特定客户资产管理计划
SS0549,财通基金—龙商定增15号资产管理计划
SR6599,主题精选之华夏资本-申万新享3号资产管理计划
SS0266,广发-稳利1号资产管理计划
SS0260,北信瑞丰基金丰庆121号资产管理计划
SS0284,财通基金-玉泉800号资产管理计划
SS0222,北信瑞丰基金中兵广发精选定增1号资产管理计划
SS0346,长安岚山1号投资组合
SS0297,中信建投基金齐河农商1号资产管理计划
SS0235,博时多策略增强债券特定资产管理计划
SS0339,瑞元资本天洁环境股权投资专项资产管理计划
SS0239,中海恒信-启惠1号单一客户专项资产管理计划
SS0318,财通基金—韬映致系列1号资产管理计划
SS0242,光大保德信-诗与远方海虹员工持股二期资产管理计划
SS0347,海富通-东吴证券海外1号QDII资产管理计划
SS0183,申万菱信平安银行养老新兴投资指数资产管理计划
SS0132,兴业财富-兴金358号单一客户专项资产管理计划
SS0174,前海开源资产珠实1号专项资产管理计划
SS0213,前海开源资产星辰一号专项资产管理计划
SS0225,北信瑞丰基金长江证券1号资产管理计划
SS0259,海富通稳赢一号资产管理计划
SS0069,建信领瑞九智投资2号资产管理计划
SS0099,建信领瑞九智投资1号资产管理计划
SE8840,景顺长城基金－民生银行量化1期资产管理计划
SS0070,建信领瑞九智投资3号资产管理计划
SS0029,北信瑞丰资产北大未名股权投资结构化专项资产管理计划
SS0109,交银施罗德资产管理有限公司-河南国益4号专项资产管理计划
SS0087,民生加银易方达资产添鑫4号资产管理计划
SS0090,创金合信汇盈5号资产管理计划
SS0049,九泰基金-锐盈定增8号资产管理计划
SR9912,博时基金浦赢多策略2号资产管理计划
SS0100,建信领瑞九智投资4号资产管理计划
SS0002,创金合信鑫盈3号资产管理计划
SR9905,博时基金-东洋资产管理定增2号资产管理计划
SS0038,九泰基金-嘉赢定增1号资产管理计划
SS0098,南方大连1号专项资产管理计划
SR9928,汇安基金-华润信托欧菲光信心资产管理计划
SS0060,信诚基金聚新2号资产管理计划
SR4528,华夏基金-寰球荟萃4号资产管理计划
SR9803,建信资本商丘新业基建专项资产管理计划
SR9838,建信资本渤海建银1号专项资产管理计划
SR9682,首誉光控-蓝锦专项资产管理计划
SR9856,诺德灵活阿尔法7号特定客户资产管理计划
SR9791,易方达资产嘉定创投专项资产管理计划
SR9891,华夏基金-建设银行-平安人寿睿磐1号资产管理计划
﻿SR9728,易方达-稳利7号资产管理计划
SR9866,兴全-东洋定增1号特定多客户资产管理计划
SR9774,北信瑞丰基金丰庆191号资产管理计划
SR9872,泰达宏利众诚1号资产管理计划
SR9792,海富通海源1号资产管理计划
SR9793,富国基金-建信资本CPPI策略1号资产管理计划
SR9794,富荣-集富7号特定客户资产管理计划
SR9893,华夏基金-民赢1号资产管理计划
SR9887,鹏华基金悉赢10号资产管理计划
SR9890,信诚基金睿择定增1号资产管理计划
SR9798,建信资本稳健增值泰康2号专项资产管理计划
SR9638,鹏华基金定增优选资产管理计划
SR9628,金鹰广金资本穗盈定增1号资产管理计划
SR9574,国金基金-乐山银行元孚1号资产管理计划
SR9631,北信瑞丰基金百瑞46号资产管理计划
SR9493,易方达资产-平安1号专项资产管理计划
S92582,兴全-许培新特定客户资产管理计划
SR9575,广发基金-建信资本1号资产管理计划
SR9532,工银瑞信投资-淄博汉裕专项资产管理计划
SR9614,新华基金-平安银行-中兵投资资产管理计划
SR9671,万家共赢恒荣一号专项资产管理计划
SR9486,北信瑞丰基金中安鼎汇资产管理计划
SR9659,财通基金-富春258号资产管理计划
SR9629,金鹰-泰安岱岳稳健债券精选3号资产管理计划
SR9544,富荣积家财富8号资产管理计划
SR9323,金元顺安FOF优选1号资产管理计划
SR9462,长安基金-银叶宏观配置11号(上海)特定多客户资产管理计划
SR9324,金元顺安FOF智选1号资产管理计划
SR9376,万家乾元二号多重资产配置型FOF资产管理计划
SR9401,江信基金定增35号资产管理计划
SR9312,工银瑞信投资-晶科能源专项资产管理计划
SR9420,金鹰肥城稳健债券精选1号资产管理计划
SR9383,嘉实基金博瞻1号资产管理计划
SR9461,财通基金-玉泉诚成稳盈1号资产管理计划
SR9454,申万菱信-渝利1号资产管理计划
SR9357,招商财富和利专项资产管理计划
SR9443,鑫沅资产-鑫成长1号专项资产管理计划
SR9389,工银瑞信投资-瑞金存款1号（北京）专项资产管理计划
SR9298,易方达基金-易方达资产8号资产管理计划
SR9115,华安资产东方资产天山1号专项资产管理计划
SR9062,万家共赢卫宁健康专项资产管理计划
SR9256,汇安-景瑞量化投资1号资产管理计划
SR7930,首誉光控-睿享2号专项资产管理计划
SR9110,海富通-南京银行多元收益1号资产管理计划
SR9161,北信瑞丰基金合星定增1号资产管理计划
SR9234,瑞元资本瑞腾投资25号专项资产管理计划
S91110,珑琪恒佳资产管理计划
SR9121,兴业财富-兴金467号单一客户专项资产管理计划
SR9258,汇安基金-稳健共赢1号资产管理计划
SR9105,前海开源以岭药业定增资产管理计划
SR9241,中邮创业基金-稳赢1号资产管理计划
SR9157,弘生定增1号资产管理计划
SR9247,南方资本-江苏银行-固收1号资产管理计划
SR9106,前海开源以岭药业2号定增资产管理计划
SR9177,星辰之南方资本多策略2号证券投资资产管理计划
SA0724,工银瑞信工行私人银行理财T1号专户资产管理合同
SA0925,工银瑞信融通资本固定收益型1号资产管理计划
SR8852,鹏华基金鹏诚分级套利FOF6号资产管理计划
SR8986,平安大华中国银行固收一号特定客户资产管理计划
SA0726,工银瑞信工行私人银行理财T7号专户资产管理合同
SR9003,汇安基金-兴融1号资产管理计划
SR8987,光大保德信-星美5号资产管理计划
SR8935,兴业财富-兴利229号单一客户专项资产管理计划
SR8850,粤享财富24号-嘉实资本分级基金A份额专项资产管理计划
SR9028,富国资产-金信1号资产管理计划
SR8961,交银施罗德天鑫一号资产管理计划
SR9045,建信资本河南新惠建投专项资产管理计划
SR9004,长盛创富盛金35号专项资产管理计划
SR8944,华泰柏瑞基金民生量化2期资产管理计划
SE5767,保护基金2015年第4期
SA0643,工银瑞信-固定收益策略资产管理计划资产管理合同
SR8887,金元顺安云栖8号资产管理计划
SR9030,财通基金-锦和定增分级51号资产管理计划
SR8974,创金合信浦信7号资产管理计划
SR8864,华安资产-华融华侨3号专项资产管理计划
SR8993,博时资本长江2号专项资产管理计划
SR8893,国寿财富-财富28号专项资产管理计划
SR8922,北信瑞丰基金百瑞32号资产管理计划
SR8990,博时资本长江1号专项资产管理计划
SR8934,兴业财富-兴金388号12期单一客户专项资产管理计划
SR8994,交银施罗德中信证券资产管理计划
SR9029,财通基金-锦和定增分级50号资产管理计划
SR8777,新华基金-瑞华定增2号资产管理计划
SR8825,东方汇智-博普多策略组合资产管理计划
SR8807,金元顺安天风7号资产管理计划
SR8802,金元顺安天风5号资产管理计划
SR8794,金元顺安天风1号资产管理计划
SR8799,中信建投基金睿丰1号资产管理计划
SR8804,金元顺安天风6号资产管理计划
SR8665,金元百利汇达6号专项资产管理计划
SR8691,汇添富-价值精选添富牛1号资产管理计划
SR8707,建信资本襄城灵武城建专项资产管理计划
SR8796,金元顺安天风3号资产管理计划
SR8801,中信建投基金聚福1号资产管理计划
SR8797,金元顺安天风4号资产管理计划
SR8695,柏瑞爱建-智通23号单一客户专项资产管理计划
SR8716,工银瑞信投资-河北中晟专项资产管理计划
SR8795,金元顺安天风2号资产管理计划
SR8770,创金合信基金招阳3号资产管理计划
SR8809,金元顺安天风8号资产管理计划
﻿SR8828,财通基金-添利趋势1号资产管理计划
SR8759,融通资本开元七十三号专项资产管理计划
SR8687,汇添富-多策略1号资产管理计划
SR8787,财通基金-玉泉716号资产管理计划
SR8359,工银瑞信投资-山金1号专项资产管理计划
SR8506,融通资本国海1号专项资产管理计划
SR8514,建信资本宝丰发投专项资产管理计划
SR8301,诺安资管天广2号专项资产管理计划
SR8481,融通资本丰鑫12号专项资产管理计划
SR8422,建信陕国投祥瑞19号资产管理计划
SR8434,创金合信恒乐1号资产管理计划
SR8421,建信陕国投祥瑞18号资产管理计划
SR8420,建信陕国投祥瑞17号资产管理计划
SR8419,建信陕国投祥瑞16号资产管理计划
SR8394,融通资本融旸1号专项资产管理计划
SR8406,国富资管招商银行汇富专项资产管理计划
SR8418,建信陕国投祥瑞15号资产管理计划
SR8323,财通基金-玉泉快递龙头定增1号资产管理计划
SR8317,长江1号二期专项资产管理计划
SR8325,鑫沅资产鑫梅花222号专项资产管理计划
SR8327,兴业财富-兴利242号单一客户专项资产管理计划
SR8326,鑫沅资产鑫梅花244号专项资产管理计划
SR8324,财通基金-锦和定增分级27号资产管理计划
SR8322,财通基金-富春定增1289号资产管理计划
SR8319,民生加银融通资本添鑫13号资产管理计划
SR8321,富国基金浦赢量化对冲2号资产管理计划
SR8328,银华资本润泽科技1号专项资产管理计划
SR8330,华夏基金-易方达资产港股1号资产管理计划
SR8320,首誉光控-星峰1号专项资产管理计划
SR8318,兴业财富-兴利174号单一客户专项资产管理计划
SR8309,首誉光控-德誉专项资产管理计划
SR8282,嘉实资本稳健105号专项资产管理计划
SR8306,交银施罗德资管国利70号专项资产管理计划
SR8283,嘉实资本至尊54号专项资产管理计划
SR8299,长盛-长信5号特定资产管理计划
SR8288,平安大华新享1号特定客户资产管理计划
SR8292,中银基金-齐河农商行固收1号资产管理计划
SR8134,首誉光控-光控中国机会基金专项资产管理计划
